Fomrat: <root> - <type>    <root> - <type>    frequency 
0-m   0-m   3
0-m   5-m7   6
0-m   7-7   2
0-m   0-7   5
0-m   2-%7   7
0-m   2-7   1
0-m   0-M7   2
0-m   0-m7   4
0-m   0-m,M7   1
0-m   9-%7   3
0-m   8-7   2
0-m   5-m   3
0-m   2-m7   2
0-m   0   4
0-m   9-7   2
0-m   6-M7   1
0-m   3-m7   2
5-m7   5-m7   1
5-m7   7-7   5
5-m7   0-7   4
5-m7   10-7   32
5-m7   8-M7   8
5-m7   2-%7   1
5-m7   0-M7   3
5-m7   0-m7   5
5-m7   10-m7   3
5-m7   4-7   3
5-m7   7-m7   1
5-m7   10-sus4,7   1
5-m7   4-m7   1
5-m7   10-aug7   1
7-7   0-m   24
7-7   7-7   3
7-7   0-7   30
7-7   10-7   1
7-7   2-%7   3
7-7   2-7   3
7-7   0-M7   105
7-7   0-m7   22
7-7   7-aug7   5
7-7   5-o7   2
7-7   8-7   1
7-7   5-m   1
7-7   5-7   5
7-7   2-m7   22
7-7   9-m7   1
7-7   1-m7   1
7-7   7-%7   1
7-7   11-o7   1
7-7   0   113
7-7   4-7   1
7-7   4-%7   9
7-7   7-m7   7
7-7   4-m7   16
7-7   11-m7   1
7-7   11-%7   3
7-7   4-aug7   3
7-7   6-o7   1
7-7   6-b5,7   3
7-7   8-o7   2
7-7   0-aug7   2
7-7   11-sus4,7   1
7-7   0-o7   1
0-7   5-m7   8
0-7   7-7   10
0-7   0-7   18
0-7   2-%7   1
0-7   2-7   3
0-7   0-M7   7
0-7   0-m7   1
0-7   5-o7   1
0-7   5-m   12
0-7   5-7   35
0-7   2-m7   3
0-7   9-m7   1
0-7   0   1
0-7   4-7   1
0-7   9-7   10
0-7   7-m7   1
0-7   5-M7   34
0-7   11-m7   1
0-7   11-7   5
0-7   5   13
0-7   10   2
10-7   5-m7   1
10-7   7-7   1
10-7   3-M7   12
10-7   2-%7   3
10-7   0-M7   5
10-7   3-7   2
10-7   2-m7   6
10-7   9-m7   3
10-7   0   3
10-7   9-7   11
10-7   4-%7   1
10-7   7-m7   1
10-7   3   3
10-7   4-m7   13
10-7   9-aug7   1
10-7   3-m7   3
3-M7   8-M7   1
3-M7   2-%7   4
3-M7   2-7   1
3-M7   0-m7   2
3-M7   2-m7   1
3-M7   11-m7   1
3-M7   4-o7   1
3-M7   3-m7   3
8-M7   5-m7   9
8-M7   7-7   8
8-M7   2-%7   3
8-M7   0-m7   3
8-M7   7-aug7   1
8-M7   2-m7   4
8-M7   9-m7   2
8-M7   8-m7   1
8-M7   4-aug7   1
8-M7   9-o7   1
8-M7   1-M7   1
8-M7   8   2
2-%7   7-7   41
2-%7   0-7   1
2-%7   2-7   1
2-%7   0-M7   6
2-%7   7-aug7   18
2-%7   4-m7   6
2-%7   7-b5,7   4
2-7   7-7   38
2-7   0-7   6
2-7   2-%7   3
2-7   2-7   3
2-7   7   1
2-7   0-M7   2
2-7   7-aug7   8
2-7   3-7   1
2-7   8-7   2
2-7   5-m   1
2-7   1-7   1
2-7   2-m7   28
2-7   9-m7   7
2-7   7-%7   1
2-7   1-b5,7   1
2-7   7-sus4,7   11
2-7   4-7   1
2-7   9-7   2
2-7   7-M7   5
2-7   7-m7   5
2-7   3-o7   7
2-7   11-m7   1
2-7   2-m   1
2-7   2-b5,7   1
7   7-7   2
0-M7   0-m   1
0-M7   5-m7   2
0-M7   0-7   14
0-M7   10-7   1
0-M7   2-%7   4
0-M7   2-7   4
0-M7   0-M7   4
0-M7   0-m7   11
0-M7   7-aug7   2
0-M7   5-m   8
0-M7   5-7   3
0-M7   2-m7   28
0-M7   9-m7   25
0-M7   1-m7   1
0-M7   0   17
0-M7   1-o7   1
0-M7   4-7   5
0-M7   9-7   9
0-M7   4-%7   6
0-M7   7-m7   8
0-M7   5-M7   7
0-M7   4-m7   10
0-M7   3-o7   5
0-M7   11-m7   4
0-M7   6-%7   3
0-M7   11-%7   6
0-M7   4-aug7   1
0-M7   11-aug7   1
0-M7   1-%7   1
0-M7   10-b5,7   2
0-M7   10-o7   1
0-M7   9-aug7   1
0-m7   0-m   1
0-m7   5-m7   12
0-m7   7-7   2
0-m7   0-7   3
0-m7   8-M7   5
0-m7   2-%7   9
0-m7   2-7   11
0-m7   0-M7   1
0-m7   0-m7   2
0-m7   7-aug7   2
0-m7   9-%7   8
0-m7   8-7   4
0-m7   5-7   12
0-m7   10-m7   3
0-m7   2-m7   2
0-m7   7-%7   2
0-m7   11-o7   1
0-m7   7-sus4,7   1
0-m7   10-sus4,7   1
0-m7   8-b5,7   4
0-m7   8   1
0-m7   11-b5,7   1
0-m7   2-aug7   1
0-m7   0-#5,m7   7
7-aug7   0-m   8
7-aug7   7-7   6
7-aug7   0-M7   10
7-aug7   0-m7   25
7-aug7   8-7   1
5-o7   0-m   2
5-o7   0-7   1
0-m,M7   0-m7   1
9-%7   2-%7   4
9-%7   2-7   4
9-%7   8-7   3
9-%7   2-sus4,7   2
9-%7   8-m   1
3-7   8-M7   18
3-7   2-7   5
3-7   3-7   1
3-7   8-7   5
3-7   10-m7   3
3-7   2-m7   9
3-7   8-m7   2
3-7   8   4
8-7   7-7   19
8-7   2-7   1
8-7   0-m7   3
8-7   7-aug7   10
8-7   8-7   2
8-7   5-7   1
8-7   1-7   2
8-7   2-m7   4
8-7   1-m7   2
8-7   1-M7   4
5-m   0-m   4
5-m   5-m7   2
5-m   7-7   4
5-m   0-7   5
5-m   2-%7   1
5-m   0-M7   8
5-m   5-m   1
5-m   9-m7   1
5-m   1-b5,7   1
5-m   0   2
5-m   4-m7   1
5-m   1   2
5-7   5-m7   5
5-7   7-7   3
5-7   0-7   22
5-7   10-7   5
5-7   2-7   3
5-7   0-M7   3
5-7   5-7   11
5-7   10-m7   1
5-7   10-M7   9
5-7   2-m7   2
5-7   7-sus4,7   1
5-7   0   2
5-7   4-7   4
5-7   4-%7   1
5-7   4-m7   9
5-7   6-%7   1
5-7   5   1
5-7   4-aug7   3
5-7   6-o7   3
5-7   10-%7   1
10-m7   3-7   24
10-m7   3-sus4,7   1
1-7   0-M7   3
1-7   8-7   2
1-7   0   2
1-7   6-M7   5
1-7   6-m7   2
10-M7   10-m7   9
2-m7   5-m7   5
2-m7   7-7   222
2-m7   10-7   3
2-m7   2-%7   5
2-m7   2-7   2
2-m7   0-M7   4
2-m7   7-aug7   4
2-m7   8-7   7
2-m7   5-m   2
2-m7   1-7   4
2-m7   2-m7   5
2-m7   7-sus4,7   12
2-m7   9-7   3
2-m7   7-m7   1
2-m7   4-m7   10
2-m7   3-o7   6
2-m7   11-%7   1
2-m7   10-m   2
2-m7   2-m   2
2-m7   9-aug7   1
9-m7   0-7   1
9-m7   2-%7   3
9-m7   2-7   63
9-m7   0-M7   1
9-m7   9-%7   1
9-m7   3-7   3
9-m7   8-7   6
9-m7   5-m   1
9-m7   2-m7   42
9-m7   4-7   4
9-m7   8-m7   1
9-m7   7-m7   1
9-m7   11-m7   1
9-m7   6-%7   1
9-m7   8-o7   1
9-m7   3-m7   1
1-m7   0-7   1
1-m7   6-7   4
6-7   5-7   1
6-7   2-m7   2
6-7   5-M7   1
6-7   11-7   1
6-7   6-m7   1
6-7   11-M7   2
7-%7   0-7   2
7-%7   0-m7   2
1-b5,7   0-m7   1
1-b5,7   0   1
11-o7   3-7   1
11-o7   0   1
7-sus4,7   7-7   1
7-sus4,7   0-M7   5
7-sus4,7   0-m7   2
7-sus4,7   2-m7   1
7-sus4,7   0   14
7-sus4,7   2-sus4,7   1
7-sus4,7   6-%7   1
7-sus4,7   5-sus4,7   2
0   0-m   4
0   7-7   9
0   0-7   14
0   10-7   1
0   8-M7   1
0   2-7   6
0   7   1
0   0-M7   17
0   0-m7   4
0   8-7   1
0   5-7   9
0   2-m7   25
0   9-m7   19
0   6-7   1
0   0   8
0   1-o7   3
0   4-7   2
0   9-7   9
0   4-%7   2
0   7-M7   1
0   7-m7   10
0   5-M7   1
0   4-m7   3
0   3-o7   3
0   11-m7   2
0   6-%7   1
0   11-%7   5
0   11-7   2
0   5   12
0   6-m7   2
0   4-m   1
0   7-m   1
0   0-sus4,7   1
1-o7   2-%7   3
1-o7   2-m7   4
4-7   7-7   1
4-7   3-M7   1
4-7   3-7   2
4-7   5-7   2
4-7   10-m7   1
4-7   9-m7   27
4-7   9-7   8
4-7   4-%7   1
4-7   8-m7   1
